app_name,Unnamed: 1,app_description,user1,user2,user3,ui_tars_humanity_rotate,mobile_agent_e_claude_sonnet_3_7_humanity_rotate,mobile_agent_e_gpt_4o_1228_humanity_rotate,ui_tars_raw,mobile_agent_e_gpt_4o_1228_raw,mobile_agent_e_claude_sonnet_3_7_raw,cpm_gui_agent_raw,cpm_gui_agent_humanity_rotate,ui_tars_only_swipe,ui_tars_only_tap,mobile_agent_e_gpt_4o_only_swipe,mobile_agent_e_gpt_4o_rot_tap_and_faked,ui_tars_rot_tap_and_faked,user4,user5,user6,user7,open_autoglm_agent_raw,open_autoglm_agent_rot_tap_unclear,open_autoglm_rot_tap_fake_unclear,...
京东,,搜索“无线耳机”，打开一个非自营卖家的商品页面，查看其一条评价。,,,,,,,,,,,,,,,,,,,,
京东,,找一个价格在50到100元之间的移动电源，加入购物车，然后从购物车中移除。,,,,,,,,,,,,,,,,,,,,
京东,,使用应用的对比功能，比较两个不同品牌的手机壳，重点关注价格和材质。,,,,,,,,,,,,,,,,,,,,
京东,,找到“百亿补贴”专区，选择一个补贴商品，查看其折扣价与原价。,,,,,,,,,,,,,,,,,,,,
京东,,选择一种日用品（例如洗发水），添加收货地址，进入订单确认页面，但不要提交支付。,,,,,,,,,,,,,,,,,,,,
饿了么,,请帮我订购2盒台式卤肉饭,,,,,,,,,,,,,,,,,,,,
饿了么,,在附近餐厅中搜索“披萨”，按评分或销量排序，查看其中一家餐厅的配送时间和评价。,,,,,,,,,,,,,,,,,,,,
饿了么,,找一家提供折扣或促销活动的餐厅，查看优惠详情，并准备下单（不支付）。,,,,,,,,,,,,,,,,,,,,
饿了么,,查看标记为“配送中”的订单状态，查看预计到达时间以及骑手联系方式。,,,,,,,,,,,,,,,,,,,,
饿了么,,进入超市/生鲜区，选择一种水果或蔬菜，加入购物车，并查看包含配送费的总价。,,,,,,,,,,,,,,,,,,,,
携程,,请帮助我找到某月28日从深圳到杭州的高铁票。要求1000元以下。,,,,,,,,,,,,,,,,,,,,
携程,,请帮助我找到某月28日从深圳到杭州的机票。要求1000元以下，宽体客机。,,,,,,,,,,,,,,,,,,,,
携程,,搜索上海在指定入住和退房日期的酒店，选择一家三星级或四星级酒店，查看其设施、价格和评价。,,,,,,,,,,,,,,,,,,,,
携程,,查询某一天从北京飞往深圳的航班，比较不同航空公司的选项。,,,,,,,,,,,,,,,,,,,,
携程,,查找洛杉矶一处旅游景点（如博物馆）的门票，比较不同类型（成人/学生票），并查看预订页面。,,,,,,,,,,,,,,,,,,,,
QQ音乐,,请帮助我找到歌曲 千里之外,,,,,,,,,,,,,,,,,,,,
QQ音乐,,在儿童区播放宝宝巴士的歌曲,,,,,,,,,,,,,,,,,,,,
QQ音乐,,搜索“周杰伦”，从结果中选择一首歌曲播放,,,,,,,,,,,,,,,,,,,,
QQ音乐,,打开排行榜或新歌发布区，浏览热门歌曲，并试听其中一首。,,,,,,,,,,,,,,,,,,,,
QQ音乐,,进入会员页面，查看会员价格和权益，然后返回非会员视图。,,,,,,,,,,,,,,,,,,,,
爱奇艺,,搜索节目《向往的生活》，打开第一集,,,,,,,,,,,,,,,,,,,,
