type,maxDevSigned
humans,23.54389731865453
humans,21.67485214891184
humans,25.26161601113533
humans,34.51087377694851
humans,29.798682844808827
humans,23.22554916432333
humans,20.61416452441748
humans,16.27858270319551
humans,15.293510207282061
humans,9.507925145340334
humans,23.882817384980065
humans,32.61611234273199
humans,17.379666245060996
humans,5.186465666704849
humans,37.006916260131085
humans,23.52980200533311
humans,28.86624962444929
humans,13.799169110308538
humans,43.29707530161437
humans,50.09108752366758
humans,41.096331597723356
humans,40.814061948517946
humans,21.455892625309193
humans,29.66210485833664
humans,26.40062784641554
humans,21.64802487831339
humans,33.04718271211951
humans,22.064801982113316
humans,32.615201231195115
humans,19.030506527576296
humans,27.555807440069014
humans,5.528114738535903
humans,16.373182550125833
humans,49.53501419955548
humans,40.034502896853716
humans,16.636990462623086
humans,22.01574545327998
humans,97.32694559740136
humans,1.5037614980579141
humans,20.229209840536164
humans,11.232284271410098
humans,60.78324047498511
humans,44.422688904429485
humans,8.629109946080098
humans,57.43037638672288
humans,52.808059621328006
humans,96.66956013803217
humans,195.47899622191488
humans,51.205476194790435
humans,48.978724166794315
humans,28.166099832848264
humans,46.66617035885475
humans,26.668686119886246
humans,31.453716611114526
humans,20.811210436969517
humans,19.08583395020461
humans,3.113990534325409
humans,37.39808000317721
humans,39.1822764426204
humans,41.366062630728074
humans,71.38003340250792
humans,4.6771225742889735
humans,13.716954677973675
humans,48.16418899606378
humans,34.22190903491845
humans,45.545718049896486
humans,15.824020221948636
humans,20.46432236578356
humans,18.96803382150986
humans,16.64374461698583
humans,15.46452616759734
humans,21.414918307447493
humans,30.492790529307833
humans,53.222154489601714
humans,127.93790376978421
humans,49.39440999114328
humans,3.699829525940979
humans,43.66479027214945
humans,15.173945440673329
humans,18.67445140118272
humans,40.31092273569632
humans,36.78692731549582
humans,7.982658957067859
humans,24.407609251676504
humans,32.762969377899694
humans,22.23998734460415
humans,41.062775856329594
humans,23.554650943751025
humans,39.557457917620354
humans,20.23922684872049
humans,21.683846957538425
humans,51.5599370498983
humans,25.992129779203058
humans,29.137693810498345
humans,8.077829833378381
humans,28.461031885596352
humans,24.075534449934636
humans,37.521687873267986
humans,30.514182376661044
humans,16.43279265770297
humans,26.564301236239448
humans,18.377912670546287
humans,26.546769490890295
humans,60.15558312116989
humans,35.2359859134949
humans,26.002310158389385
humans,17.15667600122456
humans,171.20938597563466
humans,20.865455246794227
humans,26.747372888811714
humans,44.296525806021705
humans,17.693705282579543
humans,19.678403276441045
humans,25.874024337741396
humans,97.26506944446558
humans,13.753171231749425
humans,5.874203218037826
humans,25.566445486756415
humans,19.613724673980826
humans,19.970806863557353
humans,11.681911096365061
humans,48.76466252165847
humans,51.5711544814388
humans,16.649232866734405
humans,26.01555613707183
humans,7.293288189328091
humans,52.81284602860724
humans,102.86565574308858
humans,34.07652514060483
humans,3.040104048891913
humans,5.490681947540344
humans,5.057448731298068
humans,81.76037284150789
humans,32.57860094133433
humans,4.428989779840242
humans,43.167440108443365
humans,32.16238294584327
humans,33.86214663286115
humans,18.61915367597596
humans,23.294643099542235
humans,25.817221066860988
humans,25.689369193537853
humans,23.97512523083569
humans,15.794381674268013
humans,192.1147654256587
humans,29.181039550115866
humans,7.100046937279626
humans,136.27804013587223
humans,2.8604135567055335
humans,14.537055593042783
humans,12.061258669334638
humans,15.596053230555677
humans,33.784168599783726
humans,37.59139785110845
humans,12.995148527112285
humans,22.300963703087064
humans,7.064781457002057
humans,2.208630521496931
humans,59.0921481011912
humans,39.13135735450861
humans,26.029488492651932
humans,21.02824627344809
humans,20.427528055029676
humans,88.84279622262581
humans,27.466760915297414
humans,127.64643266489132
humans,79.1859279911518
humans,53.45239676819511
humans,357.0617785158668
humans,34.30543188901084
humans,18.678890930831265
humans,57.21653997884824
humans,88.11038287062055
humans,34.35362490843422
humans,172.08604763707683
humans,45.22462788399126
humans,39.3716416067568
humans,46.83848887164559
humans,41.73159328284619
humans,48.43645617871419
humans,48.05543328075362
humans,52.00300530087157
humans,42.18882237516926
humans,55.77385805914345
humans,31.329372626604584
humans,6.842079034897708
humans,3.2627181172902424
humans,39.140116751939885
humans,9.140440638616864
humans,24.736248042359104
humans,33.121849782830274
humans,45.432426695111346
humans,65.49112177018137
humans,42.698479905718735
humans,5.0
humans,13.216372009101796
humans,2.4797973113411054
humans,3.495088982876664
humans,61.70515252920639
humans,29.967355993464352
humans,29.410072218928526
humans,30.22556064671202
humans,29.82852548555639
humans,12.780801418048767
